Name,Brand,Manufacturer URL,Image,Thumbnail Image,Additional Images,Year,Is Variant,MSRP,MSRP Currency,Range  (Miles),Speed   (mph),Weight  (lbs),Max Load   (pounds),Motor Type,Hill Grade (%),Speed Modes,Battery Capacity  (mAh),Battery Power (watts),Battery Watt Hours  (Wh),Charge Time (minutes),Width  (inches),Trucks Width  (inches),Wheelbase  (inches),Board Length  (inches),Wheel Diameter  (mm),Terrain,Style,Deck Materials,Manufacturer's Warranty  (months),Feature Tags,,Attachments
Teemo M-2,Teemo,https://teemoboard.com/collections/longboard/products/teemo-m-2-longboardm-1-upgrade-versionlg-battery-6-4ah-cruising-range-13-to-15-miles?variant=12414178525272,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
Teemo M-3,Teemo,https://teemoboard.com/collections/longboard/products/m-3-teemo-longboard-electric-skateboard-with-wireless-remote,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
Teemo High Quality Cruise,Teemo,https://teemoboard.com/collections/longboard/products/high-quality-cruise-30-km-black-panther-electric-skateboard-36v-6-6ah,https://s3.amazonaws.com/eskate-compare/product+images/teemo+high+quality+cruise/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/teemo+high+quality+cruise/thumbnail.png,,2018,false,499,USD,15.6,23.6,15.5,280,hub,,2,6600,600,238,180,9.45,,,38.2,90,road,longboard,wood,3,water resistant,,
Teemo Kids,Teemo,https://teemoboard.com/collections/longboard/products/teemo-single-motor-kids-elesctric-skateboard-range4-to-6-miles,https://s3.amazonaws.com/eskate-compare/product+images/teemo+kids/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/teemo+kids/thumbnail.png,,2018,false,229,USD,6,12,8.37,,hub,,2,,150,,90,7.5,,,27.5,72,road,pennyboard,wood,3,,,
Huboard 1.0,Huboards,https://www.huboards.com/product/electric-skateboard/,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
Riptide R1,Riptide,https://rideriptide.com/products/riptide-electric-skateboard,https://s3.amazonaws.com/eskate-compare/product+images/riptide+r1/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/riptide+r1/thumbnail.png,,2018,false,599,USD,7,18,13,,belt,,3,,1800,97,210,,,,31,83,road,pennyboard,wood,6,travel safe,,
Riptide R1 Elite,Riptide,https://rideriptide.com/products/riptide-electric-skateboard,https://s3.amazonaws.com/eskate-compare/product+images/riptide+r1+elite/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/riptide+r1+elite/thumbnail.png,,2018,false,729,USD,8,20,14,,belt,,3,,1800,97,210,,,,31,90,road,pennyboard,wood,6,travel safe,,
Arc Board,Arc,https://www.arcboardsev.com/product-page/the-arc-board-pre-order,https://s3.amazonaws.com/eskate-compare/product+images/arc+board/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/arc+board/thumbnail.png,,2018,false,799,USD,11.3,19.2,8.4,,belt,20,,4200,1665,133,70,8,,,22,,road,pennyboard,carbon fiber,12,water resistant,,
Arc Aileron,Arc,https://www.arcboardsev.com/product-page/121c-arc-aileron-pre-order-aug-2017,https://s3.amazonaws.com/eskate-compare/product+images/arc+aileron/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/arc+aileron/thumbnail.png,,2018,false,799,USD,11.3,22,9.5,,belt,22,,4200,1815,133,70,9,,,30,,road,pennyboard,carbon fiber,12,water resistant,,
Arc Aileron Version 2,Arc,https://www.arcboardsev.com/product-page/the-121c-arc-aileron-version-2-pre-order-aug-oct-2018,https://s3.amazonaws.com/eskate-compare/product+images/arc+aileron+version+2/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/arc+aileron+version+2/thumbnail.png,,2018,false,999,USD,19,28,12.1,,gear drive,22,,4200,1815,133,70,9.5,,,30,90,road,pennyboard,carbon fiber,12,water resistant,,
Arc Finix,Arc,https://www.arcboardsev.com/product-page/the-arc-finix-pre-order-aug-oct-2018,https://s3.amazonaws.com/eskate-compare/product+images/arc+finix/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/arc+finix/thumbnail.png,,2018,false,1699,USD,31,28,18.7,,gear drive,25,,4200,1815,133,70,9.5,,,38,90,road,longboard,carbon fiber,12,water resistant|battery removable,,
Bolt,Bolt,https://boltmotion.com/products/bolt,https://s3.amazonaws.com/eskate-compare/product+images/bolt/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/bolt/thumbnail.png,,2018,false,799,EUR,8.5,18,9,,belt,,2,,,97,90,10,,,23,72,road,pennyboard,wood,12,companion app|travel safe,,
Starkboard,Stark,https://starkmobility.com/products/starkboard,https://s3.amazonaws.com/eskate-compare/product+images/starkboard/main.png,https://s3.amazonaws.com/eskate-compare/product+images/starkboard/thumbnail.png,,2018,false,999,USD,12,20,17,,hub,15,3,,,208,,9.6,,,37,90,road,longboard,carbon fiber,6,battery removable|remoteless|water resistant|companion app,,
Harvoo,Harvoo,https://harvoo.com/products/hub-motorized-longboard,https://s3.amazonaws.com/eskate-compare/product+images/harvoo/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/harvoo/thumbnail.png,,2018,false,480,USD,13.8,22,15,264,hub,20,,5800,1200,209,,9.3,,,39,83,road,longboard,wood,6,,,
Marbel 2.0,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,
Raptor 2.1,Enertion,https://www.enertionboards.com/raptor-2-direct-drive-electric-skateboard/,https://s3.amazonaws.com/eskate-compare/product+images/enertion+raptor+2.1/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/enertion+raptor+2.1/thumbnail.png,,2018,false,2465,AUD,25,30.5,25,,hub,,2,,,432,,10.8,,,38.3,90,road,longboard,,12,water resistant|battery removable,,
Mellow Board Cruiser,Mellow,https://mellowboardsusa.com/shop/mellow-board-cruiser-complete,https://s3.amazonaws.com/eskate-compare/product+images/mellow+board+cruiser/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/mellow+board+cruiser/thumbnail.png,,2017,false,1695,USD,10,25,8.6,,hub,15,4,,,99,210,7,,,14,80,road,pennyboard,wood,12,travel safe|battery removable|companion app,,
Mellow Board Surfer,Mellow,https://mellowboardsusa.com/shop/mellow-board-surfer-complete,https://s3.amazonaws.com/eskate-compare/product+images/mellow+board+surfer/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/mellow+board+surfer/thumbnail.png,,2017,false,1696,USD,10,25,8.6,,hub,15,4,,,99,210,7,,,14,80,road,pennyboard,wood,12,travel safe|battery removable|companion app,,
Acton Blink S-R,Acton,https://www.actonglobal.com/collections/electric-skateboards/products/blink-s,https://s3.amazonaws.com/eskate-compare/product+images/acton+blink+s-r/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/acton+blink+s-r/thumbnail.png,,2017,false,449,USD,7,16,11,220,hub,15,3,2200,500,80,60,8,,,27.5,83,road,pennyboard,wood,6,travel safe|companion app,,
Acton Blink S2,Acton,https://www.actonglobal.com/collections/electric-skateboards/products/blink-s2,https://s3.amazonaws.com/eskate-compare/product+images/acton+blink+s2/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/acton+blink+s2/thumbnail.png,,2017,false,749,USD,14,18,15,250,hub,20,3,,1000,160,90,8.5,,,31.5,83,road,pennyboard,wood,6,companion app,,
Acton Blink Qu4tro,Acton,https://www.actonglobal.com/collections/electric-skateboards/products/blink-qu4tro,https://s3.amazonaws.com/eskate-compare/product+images/acton+blink+qu4tro/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/acton+blink+qu4tro/thumbnail.png,,2017,false,1699,USD,22,23,24,280,hub,30,3,,2000,240,180,,,,39,88,road,longboard,carbon fiber,6,companion app,,
Acton Blink Lite,Acton,https://www.amazon.com/ACTON-Lightest-Electric-Skateboard-Bluetooth/dp/B07FXY3VVJ,https://s3.amazonaws.com/eskate-compare/product+images/acton+blink+lite/main.jpg,https://s3.amazonaws.com/eskate-compare/product+images/acton+blink+lite/thumbnail.png,,2016,false,,,5,10,7.7,,hub,8,,,450,56,120,10,,,30.5,70,road,pennyboard,wood,6,companion app,,
Dominator 4000 Pro ,,https://www.epicelectricskateboards.com/product/dominater-4000-pro-with-2-x-2000watt-motors/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
